"","tract","mean_value","var"
"271","48453002421",7.99728945457069,"PM2.5"
"272","48453002422",8.6097716228026,"PM2.5"
"273","48453002423",8.55909059034106,"PM2.5"
"274","48453002424",8.7123635037624,"PM2.5"
"275","48453002425",7.74796594942831,"PM2.5"
"276","48453002426",7.55403830994369,"PM2.5"
"277","48453002427",8.04885523431046,"PM2.5"
"278","48453002428",7.57224006293792,"PM2.5"
"279","48453002429",7.41027196808511,"PM2.5"
"280","48453002430",7.9405378556984,"PM2.5"
"281","48453002431",7.93096608849559,"PM2.5"
"282","48453002432",6.83579990636859,"PM2.5"
"283","48453002433",7.80797799752806,"PM2.5"
"284","48453002434",6.83981637369034,"PM2.5"
"285","48453002435",7.39322403120198,"PM2.5"
"286","48453002436",6.96004754865269,"PM2.5"
"287","48453002500",8.28831380011866,"PM2.5"
"288","48453980000",8,"PM2.5"
"289","48491020105",7.15237640418465,"PM2.5"
"290","48491020106",7.56129277833307,"PM2.5"
"291","48491020107",7.49287013301127,"PM2.5"
"292","48491020108",7.86240330078883,"PM2.5"
"293","48491020109",6.93331322302803,"PM2.5"
"294","48491020110",7.56065047433759,"PM2.5"
"295","48491020111",8.11806727801305,"PM2.5"
"296","48491020112",7.36759102289013,"PM2.5"
"297","48491020113",8.25233008204525,"PM2.5"
"298","48491020114",7.99453101964811,"PM2.5"
"299","48491020115",7.29146254611192,"PM2.5"
"300","48491020201",7.07514896548435,"PM2.5"
"301","48491020202",6.97843040545594,"PM2.5"
"302","48491020203",7.04288581490182,"PM2.5"
"303","48491020204",6.90838568881192,"PM2.5"
"304","48491020301",7.14408853062794,"PM2.5"
"305","48491020302",7.49727804385659,"PM2.5"
"306","48491020310",7.82852453224279,"PM2.5"
"307","48491020311",8.19747636696571,"PM2.5"
"308","48491020312",7.9789931842593,"PM2.5"
"309","48491020313",8.36225638490248,"PM2.5"
"310","48491020314",7.69183406513541,"PM2.5"
"311","48491020315",7.51165299966951,"PM2.5"
"312","48491020316",8.00008233125558,"PM2.5"
"313","48491020317",7.71872523422472,"PM2.5"
"314","48491020318",8.19766252430928,"PM2.5"
"315","48491020319",8.0159519092198,"PM2.5"
"316","48491020320",7.99976528644362,"PM2.5"
"317","48491020321",8.44874672312345,"PM2.5"
"318","48491020322",8.1291575435044,"PM2.5"
"319","48491020323",7.94885318659004,"PM2.5"
"320","48491020324",7.642244441743,"PM2.5"
"321","48491020325",8.41878457221196,"PM2.5"
"322","48491020326",7.99642582585315,"PM2.5"
"323","48491020327",8.23902681979999,"PM2.5"
"324","48491020328",7.84505687010396,"PM2.5"
"325","48491020403",8.79392895954613,"PM2.5"
"326","48491020404",8.73527411824888,"PM2.5"
"327","48491020405",8.66329929792742,"PM2.5"
"328","48491020406",8.35125131899546,"PM2.5"
"329","48491020408",8.5772321895271,"PM2.5"
"330","48491020409",8.36124756036279,"PM2.5"
"331","48491020410",8.31392980742958,"PM2.5"
"332","48491020411",8.29024433038412,"PM2.5"
"333","48491020503",9.00380032036336,"PM2.5"
"334","48491020504",8.9838769393397,"PM2.5"
"335","48491020505",8.05684608765752,"PM2.5"
"336","48491020506",8.18870539426468,"PM2.5"
"337","48491020507",8.12658939843099,"PM2.5"
"338","48491020508",8.20963508990551,"PM2.5"
"339","48491020509",7.98997410833021,"PM2.5"
"340","48491020510",8.07686043343763,"PM2.5"
"341","48491020602",8.60454923413252,"PM2.5"
"342","48491020603",7.88015227754439,"PM2.5"
"343","48491020604",7.716543024114,"PM2.5"
"344","48491020605",7.61209178308872,"PM2.5"
"345","48491020701",8.92287917476152,"PM2.5"
"346","48491020703",8.78244634763678,"PM2.5"
"347","48491020704",8.94457095007609,"PM2.5"
"348","48491020706",8.22016751338921,"PM2.5"
"349","48491020707",8.5914981473119,"PM2.5"
"350","48491020708",8.57080286386339,"PM2.5"
"351","48491020803",8.00806275195829,"PM2.5"
"352","48491020804",8.03863317874708,"PM2.5"
"353","48491020805",8.01365822034556,"PM2.5"
"354","48491020806",8.07589606930089,"PM2.5"
"355","48491020807",8.15652805456002,"PM2.5"
"356","48491020808",7.78073824039254,"PM2.5"
"357","48491020809",8.13929008913082,"PM2.5"
"358","48491020900",7.91459018095496,"PM2.5"
"359","48491021000",8.56086968738981,"PM2.5"
"360","48491021100",8.77544097095458,"PM2.5"
"361","48491021201",8.44183749381101,"PM2.5"
"362","48491021202",8.46139455510585,"PM2.5"
"363","48491021203",8.53638613300641,"PM2.5"
"364","48491021300",8.3531196220733,"PM2.5"
"365","48491021401",8.36695299863161,"PM2.5"
"366","48491021402",8.57602212374977,"PM2.5"
"367","48491021403",8.80863208055642,"PM2.5"
"368","48491021502",8.73873169938252,"PM2.5"
"369","48491021503",8.6912733301762,"PM2.5"
"370","48491021504",8.09602404496326,"PM2.5"
"371","48491021505",8.55697563278008,"PM2.5"
"372","48491021506",8.05825675789642,"PM2.5"
"373","48491021507",8.13950106684585,"PM2.5"
"374","48491021508",8.48622744057859,"PM2.5"
"375","48491021601",7.5094841468819,"PM2.5"
"376","48491021602",7.71274090653857,"PM2.5"
"377","48491021603",7.51314852655014,"PM2.5"
